"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"";"L-US";"C0805K";"L1";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MUN2211T1-NPN_DRIVER-SC59-BEC";"SC59-BEC";"TRANSISTOR";"NPN Bias Resistor Transistor";"";"";"";"";"";"";"";"";"0";"J";"";
"1";"";"PINHD-2X3";"2X03";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"62";"";"";
"1";"0";"R-US_R0603";"R0603";"R1";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"R";"";
"6";"0.1uF";"C-EUC0603";"C0603";"C4, C5, C7, C9, C14, C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"C";"";
"3";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"JMP1, JMP2, JMP3";"SMD 0R 0805 Jumper";"";"";"";"";"";"";"";"";"3";"";"";
"4";"100k";"R-US_R0603";"R0603";"R2, R5, R6, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"R";"";
"1";"1015";"1015";"1015";"H1";"Cylindrical Battery Contacts, Clips, Holders & Springs AA PC Battery HOLDER";"";"";"Cylindrical Battery Contacts, Clips, Holders & Springs AA PC Battery HOLDER";"mm";"Keystone Electronics";"1015";"534-1015";"https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/1015?qs=73q%2FgRcW4F2OhJTPPQWZpA%3D%3D";"";"";"";
"3";"12.5uF";"C-EUC0603";"C0603";"C10, C11, C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"C";"";
"3";"1uF";"C-EUC0603";"C0603";"C6, C8, C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"C";"";
