ANT1	41.05	41.02	0.00	ANTENNA	ANTENNA
C1	34.66	33.38	0.00	DNP	C0603
C10	30.30	1.35	180.00	12.5uF	C0603
C11	30.31	2.72	180.00	12.5uF	C0603
C12	19.27	12.45	90.00	47uF	C0603
C13	24.48	12.48	90.00	47uF	C0603
C14	25.20	16.27	90.00	0.1uF	C0603
C15	26.46	9.77	0.00	47uF	C0603
C16	28.47	12.55	270.00	47uF	C0603
C17	30.09	12.54	270.00	47uF	C0603
C19	42.69	13.01	0.00	1uF	C0603
C2	33.75	41.04	90.00	DNP	C0603
C20	42.68	14.30	0.00	0.1uF	C0603
C21	48.60	20.86	270.00	12.5uF	C0603
C3	14.63	40.09	90.00	4.7uF	C0603
C4	15.98	40.08	90.00	0.1uF	C0603
C5	34.44	28.59	270.00	0.1uF	C0603
C6	22.00	21.71	270.00	1uF	C0603
C7	23.49	21.69	270.00	0.1uF	C0603
C8	10.91	25.49	180.00	1uF	C0603
C9	10.91	24.11	180.00	0.1uF	C0603
CRISTAL	32.68	2.01	90.00	CRISTAL-32.768KHZ-9-1-T	CRISTAL-32.768
FD1	14.89	42.23	0.00	TPTP10R	TP10R
FD2	14.84	1.10	0.00	TPTP10R	TP10R
FD3	1.47	14.79	0.00	TPTP10R	TP10R
FD4	59.72	28.21	0.00	TPTP10R	TP10R
IC1	24.76	35.37	0.00	LORA-E5	LORA-E5
IC2	38.99	6.28	90.00	STM32L071KBT6	STM32L071KBT6
IC3	30.02	21.58	270.00	FXLS8974CFR3	FXLS8974CFR3
IC4	33.83	21.63	270.00	FXLS8971CFR1	FXLS8971CFR1
IC5	45.92	2.26	180.00	DRV5032FBLPGM	SOT23
IC6	21.97	16.05	180.00	FT234XD-T	SON45P300X300X80-13N
IC7	21.89	8.44	90.00	USBLC6-2SC6	SOT95P280X145-6N
JMP1	36.12	17.78	90.00	0R-JUMPA	A0R-JMP
JMP2	36.11	15.63	90.00	0R-JUMPA	A0R-JMP
JMP3	38.19	21.57	180.00	0R-JUMPA	A0R-JMP
L1	26.68	12.47	90.00		C0805K
MOSFET	10.98	21.67	180.00	SI2305B-TP	SOT95P237X125-3N
R1	33.80	35.96	90.00	0	R0603
R10	22.67	12.45	90.00	27	R0603
R11	31.50	4.74	0.00	22	R0603
R12	31.47	6.12	0.00	22	R0603
R13	31.46	7.55	0.00	22	R0603
R14	31.46	8.95	0.00	22	R0603
R15	15.74	6.59	90.00	27	R0603
R16	15.76	3.67	270.00	27	R0603
R17	51.96	14.89	180.00	22	R0603
R18	51.97	16.39	180.00	22	R0603
R19	51.97	17.89	180.00	22	R0603
R2	39.26	28.56	270.00	100k	R0603
R20	40.14	17.94	0.00	4.7k	R0603
R21	40.14	15.83	0.00	4.7k	R0603
R3	23.64	25.69	270.00	22	R0603
R4	21.98	25.71	270.00	22	R0603
R5	28.90	17.18	270.00	100k	R0603
R6	30.30	17.17	270.00	100k	R0603
R7	28.98	24.72	0.00	DNP	R0603
R8	10.91	19.16	0.00	100k	R0603
R9	21.06	12.44	90.00	27	R0603
RGB	57.39	16.14	180.00	CLY6D-FKC-CK1N1D1BB7D3D3	PLCC6
TRANSISTOR	36.85	28.00	0.00		SC59-BEC
USB-C	21.87	3.35	180.00	217182-0001	2171820001
